total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
126,Apartment,Entire home/apt,1,0,2,t
131,House,Entire home/apt,1,0,1,t
1025,House,Entire home/apt,2,3,3,f
134,Apartment,Entire home/apt,1,2,2,t
130,Apartment,Entire home/apt,1,0,1,t
65,House,Private room,1,1,1,f
500,House,Entire home/apt,2,2,2,t
115,House,Private room,1,1,1,t
125,Apartment,Entire home/apt,1,1,1,t
309,Apartment,Entire home/apt,1,1,1,t
249,House,Entire home/apt,2,2,2,f
94,Apartment,Entire home/apt,1,2,2,f
214,House,Entire home/apt,1,2,2,t
222,House,Entire home/apt,2,3,3,t
375,House,Entire home/apt,2,2,2,f
170,House,Private room,1,2,3,t
100,House,Private room,2,1,1,t
200,House,Entire home/apt,2,2,2,t
145,Apartment,Entire home/apt,1,2,2,t
110,Apartment,Entire home/apt,2,1,1,t
124,House,Private room,1,1,1,f
645,House,Entire home/apt,2.5,3,4,f
195,House,Entire home/apt,1,1,1,t
93,Apartment,Entire home/apt,1,1,1,t
173,Apartment,Entire home/apt,1.5,0,4,t
1090,House,Entire home/apt,3,3,8,t
739,House,Entire home/apt,3,4,5,t
603,House,Entire home/apt,2,3,3,t
268,House,Entire home/apt,1,1,2,t
145,Apartment,Entire home/apt,1,2,3,t
125,Apartment,Entire home/apt,1,1,2,t
400,House,Entire home/apt,2.5,3,3,t
574,House,Entire home/apt,3,4,4,t
450,House,Entire home/apt,3,6,11,f
225,House,Entire home/apt,2,3,4,t
178,House,Private room,1,2,3,t
90,House,Private room,1,1,1,t
260,Condominium,Entire home/apt,1,1,1,t
134,Apartment,Entire home/apt,1,1,2,t
210,Apartment,Entire home/apt,1,2,2,t
344,House,Entire home/apt,2.5,3,4,f
135,Apartment,Entire home/apt,1,1,1,t
26,House,Private room,1,1,1,t
895,House,Entire home/apt,7,7,9,f
742,House,Entire home/apt,3,3,1,f
114,House,Private room,1,1,1,t
156,House,Entire home/apt,1,2,4,f
1360,House,Entire home/apt,4,6,8,t
194,House,Entire home/apt,2,2,2,t
415,House,Entire home/apt,2,2,3,f
150,Apartment,Entire home/apt,1,1,2,t
130,House,Private room,1,2,2,t
290,Condominium,Entire home/apt,1,1,1,t
98,House,Private room,1.5,1,1,t
1332,House,Entire home/apt,2,2,2,f
225,Apartment,Entire home/apt,1,2,2,t
78,House,Private room,1,1,2,t
690,Townhouse,Entire home/apt,2,2,4,t
625,Condominium,Entire home/apt,1,1,2,t
845,Condominium,Entire home/apt,3,3,4,t
625,Condominium,Entire home/apt,1,1,2,t
745,Condominium,Entire home/apt,2,2,3,t
745,Condominium,Entire home/apt,2,2,3,t
745,Condominium,Entire home/apt,2,2,3,t
745,Condominium,Entire home/apt,2,2,3,t
845,Condominium,Entire home/apt,3,3,4,t
845,Condominium,Entire home/apt,3,3,4,t
745,Condominium,Entire home/apt,2,2,3,t
125,House,Private room,1,1,3,f
308,House,Entire home/apt,2,2,2,t
280,House,Entire home/apt,2,4,5,t
400,House,Entire home/apt,2,3,4,t
56,House,Private room,1,1,1,t
745,Condominium,Entire home/apt,2,2,3,t
525,Townhouse,Entire home/apt,2.5,4,5,t
95,House,Private room,1,1,2,t
85,House,Private room,1,1,1,t
500,House,Entire home/apt,2,4,6,t
625,Condominium,Entire home/apt,1,1,2,t
398,House,Entire home/apt,2,3,3,t
105,House,Private room,1,1,1,t
105,Apartment,Entire home/apt,1,1,1,t
280,Apartment,Entire home/apt,1.5,1,2,f
404,Apartment,Entire home/apt,2,2,3,f
100,House,Private room,1,2,2,t
215,Condominium,Entire home/apt,1,1,1,t
134,Condominium,Entire home/apt,2,2,3,t
508,House,Entire home/apt,3,4,8,f
745,Condominium,Entire home/apt,2,2,3,t
600,House,Entire home/apt,2.5,3,4,t
400,House,Entire home/apt,2,3,3,t
30,House,Shared room,1,1,0,f
1075,House,Entire home/apt,2,3,3,t
415,House,Entire home/apt,2,3,5,f
135,House,Private room,1.5,2,2,f
134,House,Entire home/apt,2,2,2,f
425,House,Entire home/apt,2,3,4,t
145,House,Entire home/apt,1,1,1,t
430,Townhouse,Entire home/apt,2.5,2,3,f
135,Apartment,Entire home/apt,1,1,2,t
350,House,Private room,2,2,2,f
208,House,Entire home/apt,2,2,2,t
625,Condominium,Entire home/apt,1,1,2,t
625,Condominium,Entire home/apt,1,1,2,t
470,Apartment,Entire home/apt,1,1,2,t
510,House,Entire home/apt,2.5,4,4,f
164,Townhouse,Entire home/apt,1.5,2,3,t
209,House,Entire home/apt,2.5,2,2,t
269,House,Entire home/apt,2,3,3,t
242,Apartment,Entire home/apt,1.5,1,1,t
534,House,Entire home/apt,3.5,5,5,t
180,House,Private room,1,1,2,t
335,Condominium,Entire home/apt,2,2,3,t
167,House,Entire home/apt,2,3,3,t
124,Apartment,Entire home/apt,1,1,3,t
195,House,Private room,1,2,2,t
325,Apartment,Entire home/apt,1,1,2,f
68,Townhouse,Private room,1.5,1,1,f
115,House,Private room,1,1,1,t
175,House,Entire home/apt,2,2,3,t
220,House,Entire home/apt,1,2,2,t
99,Apartment,Entire home/apt,1,1,1,f
130,Apartment,Entire home/apt,1,1,1,t
239,House,Entire home/apt,1.5,2,2,f
250,House,Entire home/apt,2,2,2,t
570,Townhouse,Entire home/apt,2.5,4,6,t
253,House,Entire home/apt,2,4,5,t
348,House,Entire home/apt,1,2,4,f
79,House,Private room,1,1,1,t
52,House,Private room,1,1,1,f
195,House,Entire home/apt,2,3,3,t
238,House,Entire home/apt,2.5,3,3,t
706,House,Entire home/apt,4,5,5,t
226,House,Entire home/apt,1,2,2,t
797,House,Entire home/apt,2.5,3,3,f
227,Apartment,Entire home/apt,1,1,1,f
458,House,Entire home/apt,2,3,4,f
130,House,Entire home/apt,1,0,1,t
425,Apartment,Entire home/apt,1,2,3,f
425,Apartment,Entire home/apt,1,2,3,f
175,House,Entire home/apt,1,2,3,t
500,House,Entire home/apt,2.5,2,2,f
1098,House,Entire home/apt,4.5,6,12,f
26,House,Private room,1,1,1,t
850,Apartment,Entire home/apt,2,4,6,f
220,House,Entire home/apt,1.5,2,2,t
225,Townhouse,Entire home/apt,2.5,3,4,f
65,House,Private room,2,1,1,t
128,Apartment,Entire home/apt,0,1,1,f
122,House,Private room,1,1,1,t
160,House,Entire home/apt,1,1,1,t
745,Condominium,Entire home/apt,2,2,3,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
86,House,Private room,1.5,1,1,f
60,Townhouse,Private room,1.5,1,1,t
290,Condominium,Entire home/apt,2,2,2,t
165,Apartment,Entire home/apt,1,1,2,t
180,House,Entire home/apt,2,3,3,t
319,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,0,1,t
200,Condominium,Entire home/apt,1,1,2,t
367,House,Entire home/apt,2,3,4,t
824,House,Entire home/apt,3,5,8,f
75,House,Private room,1,1,1,f
490,Townhouse,Entire home/apt,2,2,3,t
234,House,Entire home/apt,2,3,5,t
175,Condominium,Entire home/apt,1,1,2,f
182,House,Entire home/apt,1,2,3,t
284,House,Entire home/apt,1,2,2,t
284,House,Entire home/apt,1,2,2,t
159,House,Entire home/apt,2,2,3,t
353,House,Entire home/apt,1,2,3,f
120,Apartment,Entire home/apt,1,1,1,t
290,House,Entire home/apt,1,1,2,t
270,Condominium,Entire home/apt,1,1,2,t
175,House,Entire home/apt,1,2,2,t
275,House,Entire home/apt,3,4,6,t
750,House,Entire home/apt,4,5,5,f
387,House,Entire home/apt,3,4,4,t
105,House,Private room,1,1,1,f
225,House,Entire home/apt,1,2,2,t
96,House,Private room,1,1,1,f
210,House,Entire home/apt,2,3,3,f
448,House,Entire home/apt,1,2,3,f
108,House,Private room,1.5,1,1,t
434,House,Entire home/apt,3,3,7,t
300,House,Entire home/apt,2,3,10,f
240,House,Entire home/apt,1.5,2,2,t
115,Apartment,Entire home/apt,1,1,3,f
610,Townhouse,Entire home/apt,2.5,4,7,f
235,House,Entire home/apt,2,2,2,f
195,House,Entire home/apt,1,1,5,t
46,House,Private room,1,1,1,t
115,Apartment,Entire home/apt,1,1,0,f
325,Condominium,Entire home/apt,2,2,2,t
490,Condominium,Entire home/apt,2,2,3,t
300,Condominium,Entire home/apt,1,1,2,t
406,House,Entire home/apt,2,3,4,f
95,House,Private room,1.5,1,1,t
335,House,Entire home/apt,3.5,3,3,t
120,Apartment,Entire home/apt,1,0,1,t
364,House,Entire home/apt,2,2,4,t
300,Condominium,Entire home/apt,1,1,2,t
275,House,Entire home/apt,2,4,6,t
103,House,Entire home/apt,1,2,3,t
161,House,Entire home/apt,2,2,2,f
220,House,Entire home/apt,1,2,2,t
300,Condominium,Entire home/apt,1,1,2,t
195,House,Entire home/apt,1.5,3,3,t
200,Condominium,Entire home/apt,1,1,2,t
273,House,Entire home/apt,1,2,2,f
390,Townhouse,Entire home/apt,2,2,3,t
25,House,Private room,1,1,1,t
230,House,Entire home/apt,1,3,4,t
240,House,Entire home/apt,1.5,3,4,t
350,House,Entire home/apt,2,4,5,t
185,Apartment,Entire home/apt,1,2,2,t
265,House,Entire home/apt,2,3,4,t
125,Apartment,Entire home/apt,1,1,1,t
139,House,Private room,1,1,1,t
75,House,Private room,1,1,1,f
145,Apartment,Entire home/apt,1,1,1,t
259,Apartment,Entire home/apt,1,1,3,t
259,House,Entire home/apt,1,1,1,t
390,Condominium,Entire home/apt,1,1,2,t
270,Condominium,Entire home/apt,1,1,2,t
590,Condominium,Entire home/apt,2,2,3,t
490,Condominium,Entire home/apt,3,3,4,t
52,House,Private room,1,1,1,f
449,Apartment,Entire home/apt,1,2,2,f
247,House,Entire home/apt,2,2,3,t
425,House,Entire home/apt,2,2,2,t
518,Condominium,Entire home/apt,1,1,2,f
479,House,Entire home/apt,0,0,0,t
229,House,Entire home/apt,2,4,4,f
78,House,Private room,1,1,1,f
239,House,Entire home/apt,2,4,5,t
245,Apartment,Entire home/apt,1,2,2,t
205,House,Entire home/apt,2,3,4,f
195,House,Entire home/apt,2,3,4,t
181,House,Entire home/apt,2,2,2,t
294,House,Entire home/apt,2.5,3,3,f
255,House,Entire home/apt,1,2,4,t
212,Condominium,Entire home/apt,2,2,2,t
212,Condominium,Entire home/apt,2,2,2,t
150,House,Private room,1,1,2,t
65,House,Private room,1,1,2,t
110,House,Private room,1,1,1,t
360,Condominium,Entire home/apt,1,1,2,f
100,House,Private room,1,1,2,f
165,House,Entire home/apt,2,2,2,t
179,House,Entire home/apt,1,1,2,t
175,House,Entire home/apt,2,2,3,f
114,House,Private room,1,1,1,f
370,Condominium,Entire home/apt,1,1,2,f
149,Apartment,Entire home/apt,1,1,1,f
289,Apartment,Entire home/apt,1,1,3,t
250,House,Entire home/apt,1.5,2,4,f
110,Apartment,Entire home/apt,1,0,1,t
283,House,Entire home/apt,2.5,3,4,t
185,Apartment,Entire home/apt,1,2,2,f
270,House,Entire home/apt,1,2,2,f
150,House,Entire home/apt,1,1,1,f
108,Apartment,Entire home/apt,1,1,2,t
46,House,Private room,1,0,1,f
160,House,Entire home/apt,1,2,4,t
125,Apartment,Entire home/apt,1,2,2,t
230,House,Entire home/apt,4,4,4,t
70,House,Private room,1,1,1,t
654,Townhouse,Entire home/apt,3.5,3,3,f
875,House,Entire home/apt,3.5,6,8,t
1499,Apartment,Entire home/apt,5,12,17,f
250,House,Entire home/apt,3,2,2,t
958,House,Entire home/apt,3.5,6,9,f
230,Apartment,Entire home/apt,2,3,6,t
287,House,Entire home/apt,1,3,4,f
650,Townhouse,Entire home/apt,3,2,4,f
424,House,Entire home/apt,1,3,3,f
549,House,Entire home/apt,2.5,5,7,t
200,House,Entire home/apt,2,2,2,f
212,Condominium,Entire home/apt,2,2,2,t
229,Condominium,Entire home/apt,2,2,2,t
210,House,Entire home/apt,1,2,3,t
80,House,Private room,1,1,1,f
195,Townhouse,Entire home/apt,1.5,1,1,t
184,House,Entire home/apt,2,2,2,t
454,House,Entire home/apt,3,4,5,t
269,Condominium,Entire home/apt,3,3,3,t
381,House,Entire home/apt,2,5,6,f
314,House,Entire home/apt,2,3,4,t
90,House,Private room,1.5,2,3,f
150,House,Entire home/apt,1,2,1,f
170,Apartment,Entire home/apt,1,1,2,t
305,Apartment,Entire home/apt,1,2,2,f
190,House,Entire home/apt,2,2,4,t
255,House,Entire home/apt,2,3,4,f
975,House,Entire home/apt,3.5,4,7,t
190,House,Entire home/apt,1,3,5,f
230,Apartment,Entire home/apt,1,1,2,f
185,House,Entire home/apt,1,1,1,f
158,Condominium,Entire home/apt,2,2,2,t
250,House,Entire home/apt,2.5,3,4,t
163,House,Entire home/apt,1,2,2,f
175,House,Private room,1,1,2,t
624,House,Entire home/apt,2.5,3,7,t
225,House,Entire home/apt,1,2,2,t
244,House,Entire home/apt,3,5,8,t
500,House,Entire home/apt,3.5,4,4,f
242,Townhouse,Entire home/apt,1.5,2,2,f
203,House,Entire home/apt,1,2,4,f
108,House,Entire home/apt,1,2,3,t
292,House,Entire home/apt,2.5,4,5,t
135,Apartment,Entire home/apt,1,1,0,f
900,House,Entire home/apt,4.5,4,11,t
162,House,Entire home/apt,2,3,7,t
220,Townhouse,Entire home/apt,1,2,4,f
129,Apartment,Entire home/apt,1,1,1,f
104,House,Private room,1,1,1,f
124,House,Entire home/apt,1,1,1,f
187,House,Entire home/apt,2,3,3,t
244,House,Entire home/apt,1,2,3,t
738,House,Entire home/apt,6,6,6,t
299,Townhouse,Entire home/apt,2,2,3,f
99,Apartment,Entire home/apt,1,1,2,f
179,Apartment,Entire home/apt,1,1,1,f
130,House,Entire home/apt,1,2,2,f
474,House,Entire home/apt,2,3,3,t
150,Apartment,Entire home/apt,1,1,1,f
63,House,Private room,1,1,1,f
427,House,Entire home/apt,2,3,4,f
200,House,Entire home/apt,2,1,1,f
437,Apartment,Entire home/apt,1,1,1,f
406,Apartment,Entire home/apt,1,1,1,f
439,Apartment,Entire home/apt,1,1,1,f
407,Apartment,Entire home/apt,1,1,1,f
200,House,Entire home/apt,1,0,1,f
852,House,Entire home/apt,3.5,3,4,t
179,Apartment,Entire home/apt,1,1,1,f
148,Apartment,Entire home/apt,1,1,1,f
150,Apartment,Entire home/apt,1,1,1,f
159,Apartment,Entire home/apt,1,1,1,f
280,House,Entire home/apt,2,3,5,f
164,Apartment,Entire home/apt,1,1,1,t
164,Condominium,Entire home/apt,1,1,1,f
551,House,Entire home/apt,2,3,4,f
204,House,Entire home/apt,2,3,4,f
391,House,Entire home/apt,2,3,7,f
300,House,Entire home/apt,1,2,2,f
650,House,Entire home/apt,3.5,4,7,f
118,House,Entire home/apt,1,1,1,f
